Closeness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
145     locust                                                    0.36366570    0.725025
146     google-cloud-storage                                      0.36356793    0.724693
147     phonemizer                                                0.36348976    0.724427
148     openml                                                    0.36348976    0.724427
149     flax                                                      0.36335304    0.723962
150     dask                                                      0.36327495    0.723696
151     prefect                                                   0.36294348    0.722568
152     anndata                                                   0.36288505    0.722369
153     accelerate                                                0.36288505    0.722369
154     autodoc_pydantic                                          0.36288505    0.722369
155     scanpy                                                    0.36286558    0.722302
156     marshmallow                                               0.36286558    0.722302
157     neptune                                                   0.36245712    0.720912
158     pyee                                                      0.36228235    0.720316
159     jaraco.develop                                            0.36226294    0.720250
160     diffusers                                                 0.36216593    0.719920
161     IPython                                                   0.36214653    0.719854
162     tox                                                       0.36197206    0.719259
163     papermill                                                 0.36195268    0.719193
164     wheel                                                     0.36193331    0.719127
165     visidata                                                  0.36191394    0.719061
166     gitpython                                                 0.36185584    0.718863
167     optuna-integration                                        0.36177840    0.718600
168     geopandas                                                 0.36150762    0.717677
169     cudf-cu12                                                 0.36139169    0.717282
170     google-vizier                                             0.36137238    0.717216
171     beautifulsoup4                                            0.36137238    0.717216
172     fastapi                                                   0.36135307    0.717150
173     pyOpenSSL                                                 0.36133376    0.717084
174     lunr                                                      0.36129515    0.716953
175     neptune-client                                            0.36129515    0.716953
176     htmltools                                                 0.36127585    0.716887
177     conda-lock                                                0.36127585    0.716887
178     cudf-cu13                                                 0.36123725    0.716756
179     statsmodels                                               0.36121795    0.716690
180     deepspeed                                                 0.36112150    0.716361
181     mosaicml-streaming                                        0.36110221    0.716295
182     asyncstdlib                                               0.36104437    0.716098
183     click                                                     0.36102509    0.716032
184     google-auth                                               0.36098655    0.715901
185     myst-parser                                               0.36092874    0.715704
186     graphene                                                  0.36085170    0.715441
187     pikepdf                                                   0.36083244    0.715376
188     jedi                                                      0.36075544    0.715113
189     evaluate                                                  0.36073620    0.715047
190     dspy                                                      0.36033252    0.713671
191     tensorflow-intel                                          0.36025573    0.713409
192     tensorflow-aarch64                                        0.36017897    0.713147
193     vllm                                                      0.36012143    0.712951
194     sphinxext-altair                                          0.36010225    0.712885
195     sentence-transformers                                     0.36008307    0.712820
196     lit-nlp                                                   0.36006390    0.712754
197     librosa                                                   0.35994890    0.712362
198     Pillow                                                    0.35989143    0.712166
199     catalyst                                                  0.35983397    0.711970
200     allennlp                                                  0.35966172    0.711382
201     shinylive                                                 0.35954698    0.710991
202     influxdb-client                                           0.35954698    0.710991
203     etils                                                     0.35954698    0.710991
204     tomli                                                     0.35945141    0.710665
205     twisted                                                   0.35943231    0.710599
206     optimum                                                   0.35935590    0.710339
207     tokenizers                                                0.35920319    0.709817
208     scikit-image                                              0.35906967    0.709362
209     torch_geometric                                           0.35903154    0.709231
210     kornia                                                    0.35899342    0.709101
211     dottxt                                                    0.35893625    0.708906
212     mlflow-skinny                                             0.35887910    0.708711
213     equinox                                                   0.35886005    0.708646
214     ubelt                                                     0.35882197    0.708516
215     sqlalchemy                                                0.35882197    0.708516
216     attrs                                                     0.35876486    0.708321
217     jupyter-cache                                             0.35859363    0.707736
218     mosaicml-cli                                              0.35849857    0.707411
219     graphdatascience                                          0.35846056    0.707282
220     modin                                                     0.35846056    0.707282
221     libpysal                                                  0.35844156    0.707217
222     parver                                                    0.35815678    0.706244
223     pymongo                                                   0.35811884    0.706114
224     orbax-checkpoint                                          0.35796718    0.705596
225     astropy                                                   0.35781564    0.705078
226     asv                                                       0.35777778    0.704949
227     seaborn                                                   0.35775885    0.704884
228     openai-agents                                             0.35770207    0.704690
229     arelle-release                                            0.35755076    0.704173
230     safety                                                    0.35753186    0.704109
231     cubed                                                     0.35751295    0.704044
232     colorama                                                  0.35739958    0.703657
233     pytest-timeout                                            0.35730515    0.703334
234     arelle_release                                            0.35724852    0.703140
235     somacore                                                  0.35722965    0.703076
236     crosshair-tool                                            0.35717304    0.702882
237     deepeval                                                  0.35709759    0.702624
238     pymilvus                                                  0.35705988    0.702495
239     webdataset                                                0.35690911    0.701980
240     pathspec                                                  0.35689027    0.701915
241     treescope                                                 0.35685260    0.701787
242     botorch                                                   0.35681494    0.701658
243     peft                                                      0.35673965    0.701400
244     google-genai                                              0.35657034    0.700821
245     gptqmodel                                                 0.35641999    0.700307
246     ray                                                       0.35638242    0.700178
247     kedro                                                     0.35634486    0.700050
248     asyncstdlib-fw                                            0.35632608    0.699986
249     nlp                                                       0.35630730    0.699922
250     Twisted                                                   0.35623222    0.699665
251     mlcroissant                                               0.35615717    0.699408
252     hvplot                                                    0.35595094    0.698702
253     oracledb                                                  0.35587601    0.698446
254     pytest-revealtype-injector                                0.35585728    0.698382
255     adbc-driver-manager                                       0.35578238    0.698125
256     nbconvert                                                 0.35574495    0.697997
257     responses                                                 0.35563269    0.697613
258     tenacity                                                  0.35548312    0.697101
259     captum                                                    0.35540839    0.696845
260     marimo                                                    0.35531501    0.696526
261     torchao                                                   0.35531501    0.696526
262     jinja2                                                    0.35518437    0.696079
263     tifffile                                                  0.35518437    0.696079
264     coverage                                                  0.35518437    0.696079
265     safetensors                                               0.35512841    0.695887
266     virtualenv                                                0.35509111    0.695759
267     pyinstrument                                              0.35501654    0.695504
268     opensearch-py                                             0.35496063    0.695312
269     tensorflow-rocm                                           0.35486749    0.694993
270     tensorflow                                                0.35484887    0.694930
271     memray                                                    0.35479301    0.694738
272     sphinx-gallery                                            0.35477440    0.694675
273     tensorflow-cpu-aws                                        0.35477440    0.694675
274     sphinx-autodoc2                                           0.35469996    0.694420
275     mkdocs-macros-plugin                                      0.35462555    0.694165
276     prophet                                                   0.35458836    0.694038
277     rasterio                                                  0.35455117    0.693910
278     dbt-core                                                  0.35442109    0.693465
279     docker                                                    0.35442109    0.693465
280     imbalanced-learn                                          0.35440252    0.693401
281     autobahn                                                  0.35438394    0.693337
282     pylibcudf-cu12                                            0.35436537    0.693274
283     jaxtyping                                                 0.35432823    0.693146
284     pytest-mock                                               0.35430967    0.693083
285     snowflake-cli                                             0.35429110    0.693019
286     semantic-router                                           0.35429110    0.693019
287     toolbox-adk                                               0.35425398    0.692892
288     inline-snapshot                                           0.35421687    0.692765
289     sphinx-immaterial                                         0.35419831    0.692701
290     amd-quark                                                 0.35412412    0.692447
291     reward-kit                                                0.35399435    0.692002
292     trl                                                       0.35384615    0.691495
293     claude-agent-sdk                                          0.35377210    0.691241
294     skorch                                                    0.35356863    0.690543
295     multiscale-spatial-image                                  0.35345774    0.690163
296     great_tables                                              0.35343926    0.690100
297     great-tables                                              0.35343926    0.690100
298     dvclive                                                   0.35338385    0.689910
299     arrow-json                                                0.35332846    0.689720
300     pytorch-forecasting                                       0.35331000    0.689657
301     cached-path                                               0.35327308    0.689530
302     universal-pathlib                                         0.35325462    0.689467
303     python-lsp-server                                         0.35325462    0.689467
304     pmxbot                                                    0.35314393    0.689087
305     tsfresh                                                   0.35308861    0.688898
306     gepa                                                      0.35301488    0.688645
307     importlib-metadata                                        0.35295960    0.688455
308     sentence_transformers                                     0.35294118    0.688392
309     together                                                  0.35283068    0.688013
310     dask-ml                                                   0.35279386    0.687887
311     deepmerge                                                 0.35268346    0.687508
312     apscheduler                                               0.35264668    0.687382
313     ansi2html                                                 0.35257313    0.687130
314     sagemaker-train                                           0.35242612    0.686626
315     shapely                                                   0.35238939    0.686500
316     fairseq-fixed                                             0.35237103    0.686437
317     primp                                                     0.35231595    0.686248
318     snowflake.core                                            0.35218750    0.685807
319     bayesian-optimization                                     0.35216916    0.685744
320     pyhamcrest                                                0.35213248    0.685618
321     causalml                                                  0.35209581    0.685492
322     pyro-ppl                                                  0.35207748    0.685429
323     fiddle                                                    0.35207748    0.685429
324     scikit-optimize                                           0.35205915    0.685366
325     uvicorn                                                   0.35202249    0.685241
326     PyOpenSSL                                                 0.35196752    0.685052
327     pandera                                                   0.35196752    0.685052
328     moocore                                                   0.35194920    0.684989
329     AliPCS-Py                                                 0.35193088    0.684926
330     seqme                                                     0.35185763    0.684675
331     datashader                                                0.35185763    0.684675
332     jupytext                                                  0.35183933    0.684612
333     configspace                                               0.35171122    0.684172
334     ConfigSpace                                               0.35171122    0.684172
335     pylint                                                    0.35169293    0.684110
336     ixbrl-viewer                                              0.35169293    0.684110
337     pillow-heif                                               0.35169293    0.684110
338     vertexai                                                  0.35165635    0.683984
339     python-graphblas                                          0.35160150    0.683796
340     sphinx-book-theme                                         0.35160150    0.683796
341     cartopy                                                   0.35160150    0.683796
342     cucim-cu12                                                0.35152838    0.683545
343     psycopg-pool                                              0.35149184    0.683419
344     pymanopt                                                  0.35145530    0.683294
345     langsmith                                                 0.35145530    0.683294
346     pfns                                                      0.35141877    0.683168
347     unitxt                                                    0.35141877    0.683168
348     torchx                                                    0.35140051    0.683106
349     pytest-regressions                                        0.35136399    0.682980
