PageRank — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,763
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
146     sphinxcontrib-serializinghtml                             0.00061821    0.009446
147     jsonschema                                                0.00061770    0.009437
148     pydata-sphinx-theme                                       0.00061766    0.009437
149     aws-cdk.aws-iam                                           0.00061674    0.009421
150     imagesize                                                 0.00061639    0.009415
151     sphinxcontrib-htmlhelp                                    0.00061058    0.009315
152     sphinxcontrib-applehelp                                   0.00061058    0.009315
153     sphinx_rtd_theme                                          0.00061033    0.009311
154     cssselect                                                 0.00061033    0.009310
155     sphinxcontrib-jsmath                                      0.00060762    0.009264
156     sphinxcontrib-devhelp                                     0.00060748    0.009262
157     sphinxcontrib-qthelp                                      0.00060748    0.009262
158     roman-numerals                                            0.00059763    0.009092
159     nodeenv                                                   0.00059557    0.009056
160     pytest-mock                                               0.00058566    0.008886
161     graphviz                                                  0.00058006    0.008789
162     watchdog                                                  0.00057994    0.008787
163     pywin32                                                   0.00057358    0.008678
164     markupsafe                                                0.00057296    0.008667
165     zstandard                                                 0.00057022    0.008620
166     opentelemetry-instrumentation                             0.00056888    0.008597
167     aws-cdk.region-info                                       0.00055375    0.008337
168     jaraco.test                                               0.00055338    0.008330
169     backports-zstd                                            0.00054141    0.008124
170     tensorflow                                                0.00054021    0.008103
171     defusedxml                                                0.00053821    0.008069
172     identify                                                  0.00053586    0.008028
173     cfgv                                                      0.00053362    0.007990
174     pyparsing                                                 0.00053251    0.007971
175     lxml_html_clean                                           0.00053231    0.007967
176     tornado                                                   0.00053213    0.007964
177     django                                                    0.00052864    0.007904
178     BeautifulSoup4                                            0.00052716    0.007879
179     trio                                                      0.00052546    0.007849
180     ukkonen                                                   0.00052513    0.007844
181     llama-index-core                                          0.00051477    0.007665
182     redis                                                     0.00050651    0.007523
183     absl-py                                                   0.00050190    0.007444
184     sortedcontainers                                          0.00050162    0.007439
185     nvidia-nvjitlink-cu12                                     0.00050114    0.007431
186     isodate                                                   0.00050028    0.007416
187     mypy_extensions                                           0.00049568    0.007337
188     numpydoc                                                  0.00049361    0.007301
189     traitlets                                                 0.00049237    0.007280
190     zipp                                                      0.00049108    0.007258
191     execnet                                                   0.00048936    0.007228
192     librt                                                     0.00048813    0.007207
193     ptyprocess                                                0.00048553    0.007162
194     pexpect                                                   0.00048105    0.007085
195     tomlkit                                                   0.00048058    0.007077
196     setproctitle                                              0.00047849    0.007041
197     email-validator                                           0.00047614    0.007000
198     sphinx-design                                             0.00047503    0.006981
199     google-auth!                                              0.00047449    0.006972
200     Cython                                                    0.00047360    0.006957
201     proto-plus                                                0.00047354    0.006955
202     pysocks!                                                  0.00047104    0.006912
203     websockets                                                0.00046547    0.006817
204     asn1crypto                                                0.00045717    0.006674
205     pyobjc-framework-Quartz                                   0.00045604    0.006654
206     boto3                                                     0.00045578    0.006650
207     nbformat                                                  0.00045444    0.006627
208     types-requests                                            0.00045101    0.006568
209     rapidfuzz                                                 0.00044866    0.006527
