PageRank — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,765
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
146     sphinxcontrib-serializinghtml                             0.00061808    0.009446
147     jsonschema                                                0.00061757    0.009437
148     pydata-sphinx-theme                                       0.00061754    0.009437
149     aws-cdk.aws-iam                                           0.00061661    0.009421
150     imagesize                                                 0.00061627    0.009415
151     sphinxcontrib-applehelp                                   0.00061046    0.009315
152     sphinxcontrib-htmlhelp                                    0.00061046    0.009315
153     sphinx_rtd_theme                                          0.00061021    0.009311
154     cssselect                                                 0.00061021    0.009310
155     sphinxcontrib-jsmath                                      0.00060750    0.009264
156     sphinxcontrib-devhelp                                     0.00060736    0.009261
157     sphinxcontrib-qthelp                                      0.00060736    0.009261
158     roman-numerals                                            0.00059751    0.009092
159     nodeenv                                                   0.00059545    0.009056
160     pytest-mock                                               0.00058554    0.008886
161     graphviz                                                  0.00057994    0.008789
162     watchdog                                                  0.00057982    0.008787
163     pywin32                                                   0.00057347    0.008678
164     markupsafe                                                0.00057284    0.008667
165     zstandard                                                 0.00057011    0.008620
166     opentelemetry-instrumentation                             0.00056877    0.008597
167     aws-cdk.region-info                                       0.00055364    0.008336
168     jaraco.test                                               0.00055327    0.008330
169     backports-zstd                                            0.00054130    0.008124
170     tensorflow                                                0.00054010    0.008103
171     defusedxml                                                0.00053810    0.008069
172     identify                                                  0.00053575    0.008028
173     cfgv                                                      0.00053352    0.007990
174     pyparsing                                                 0.00053241    0.007971
175     lxml_html_clean                                           0.00053221    0.007967
176     tornado                                                   0.00053202    0.007964
177     django                                                    0.00052854    0.007904
178     BeautifulSoup4                                            0.00052706    0.007879
179     trio                                                      0.00052535    0.007849
180     ukkonen                                                   0.00052502    0.007844
181     llama-index-core                                          0.00051466    0.007665
182     redis                                                     0.00050641    0.007523
183     absl-py                                                   0.00050180    0.007444
184     sortedcontainers                                          0.00050152    0.007439
185     nvidia-nvjitlink-cu12                                     0.00050104    0.007431
