Closeness Centrality — full node ranking
==================================================================================
Sorted by raw score (descending).
Normalisation: log-normalised.
Total nodes: 6,765
==================================================================================

Rank    Node                                                       Raw Score  Norm Score
145     gpt4all                                                   0.36386139    0.290056
146     codecarbon                                                0.36370482    0.289843
147     locust                                                    0.36366570    0.289790
148     google-cloud-storage                                      0.36356793    0.289657
149     phonemizer                                                0.36348976    0.289550
150     openml                                                    0.36348976    0.289550
151     flax                                                      0.36335304    0.289364
152     dask                                                      0.36327495    0.289258
153     prefect                                                   0.36294348    0.288807
154     accelerate                                                0.36288505    0.288728
155     anndata                                                   0.36288505    0.288728
156     autodoc_pydantic                                          0.36288505    0.288728
157     marshmallow                                               0.36286558    0.288701
158     scanpy                                                    0.36286558    0.288701
159     neptune                                                   0.36245712    0.288145
160     pyee                                                      0.36228235    0.287907
161     jaraco.develop                                            0.36226294    0.287881
162     diffusers                                                 0.36216593    0.287749
163     IPython                                                   0.36214653    0.287722
164     tox                                                       0.36197206    0.287485
165     papermill                                                 0.36195268    0.287459
166     wheel                                                     0.36193331    0.287432
167     visidata                                                  0.36191394    0.287406
168     gitpython                                                 0.36185584    0.287327
169     optuna-integration                                        0.36177840    0.287221
170     geopandas                                                 0.36150762    0.286852
171     cudf-cu12                                                 0.36139169    0.286694
172     beautifulsoup4                                            0.36137238    0.286668
173     google-vizier                                             0.36137238    0.286668
174     fastapi                                                   0.36135307    0.286642
175     pyOpenSSL                                                 0.36133376    0.286616
176     neptune-client                                            0.36129515    0.286563
177     lunr                                                      0.36129515    0.286563
178     htmltools                                                 0.36127585    0.286537
179     conda-lock                                                0.36127585    0.286537
180     cudf-cu13                                                 0.36123725    0.286484
181     statsmodels                                               0.36121795    0.286458
182     deepspeed                                                 0.36112150    0.286326
183     mosaicml-streaming                                        0.36110221    0.286300
184     asyncstdlib                                               0.36104437    0.286221
185     click                                                     0.36102509    0.286195
186     google-auth                                               0.36098655    0.286143
187     myst-parser                                               0.36092874    0.286064
188     graphene                                                  0.36085170    0.285959
189     pikepdf                                                   0.36083244    0.285933
190     jedi                                                      0.36075544    0.285828
191     evaluate                                                  0.36073620    0.285801
192     dspy                                                      0.36033252    0.285251
193     tensorflow-intel                                          0.36025573    0.285146
194     tensorflow-aarch64                                        0.36017897    0.285042
195     vllm                                                      0.36012143    0.284963
196     sphinxext-altair                                          0.36010225    0.284937
197     sentence-transformers                                     0.36008307    0.284911
198     lit-nlp                                                   0.36006390    0.284885
199     librosa                                                   0.35994890    0.284728
200     Pillow                                                    0.35989143    0.284650
201     catalyst                                                  0.35983397    0.284571
202     allennlp                                                  0.35966172    0.284336
203     influxdb-client                                           0.35954698    0.284180
204     etils                                                     0.35954698    0.284180
205     shinylive                                                 0.35954698    0.284180
206     tomli                                                     0.35945141    0.284050
207     twisted                                                   0.35943231    0.284024
208     optimum                                                   0.35935590    0.283919
209     tokenizers                                                0.35920319    0.283711
210     scikit-image                                              0.35906967    0.283529
211     torch_geometric                                           0.35903154    0.283477
212     kornia                                                    0.35899342    0.283425
213     dottxt                                                    0.35893625    0.283347
214     mlflow-skinny                                             0.35887910    0.283269
215     equinox                                                   0.35886005    0.283243
216     ubelt                                                     0.35882197    0.283191
217     sqlalchemy                                                0.35882197    0.283191
218     attrs                                                     0.35876486    0.283113
219     jupyter-cache                                             0.35859363    0.282879
220     mosaicml-cli                                              0.35849857    0.282749
221     graphdatascience                                          0.35846056    0.282697
222     modin                                                     0.35846056    0.282697
223     libpysal                                                  0.35844156    0.282671
224     parver                                                    0.35815678    0.282283
225     pymongo                                                   0.35811884    0.282231
226     orbax-checkpoint                                          0.35796718    0.282024
227     astropy                                                   0.35781564    0.281817
228     asv                                                       0.35777778    0.281765
